CUSTOMERID,FIRST_NAME,LAST_NAME,DOB,SSN_LAST4,MARITAL_STATUS,ANNUAL_INCOME,PREFERRED_CONTACT,PHONE_NUMBER,EMAIL,ADDRESS,CITY,STATE,ZIP_CODE,HIGH_NET_WORTH_FLAG,LAST_LOGIN_DATE,FINANCIAL_GOALS,LAST_UPDATED,BRANCH_ID,BRANCH_OFFICER,FINANCIAL_ADVISOR_ID,FINANCIAL_ADVISOR_NAME,CLIENT_ID,ENGAGEMENT_SCORE,FOLLOW_UP_PENDING,FOLLOW_UPS_COMPLETED,FOLLOW_UP_DATE,FINANCIAL_ADVISOR_ID,FINANCIAL_ADVISOR_NAME,ROLE,CUSTOMER_ID,FIRST_NAME,LAST_NAME,ASSET_ID,ASSET_TYPE,ASSET_STATUS,PURCHASE_DATE,PROPERTY_VALUE,HOLDINGID,CLIENTID,INVESTMENTTYPEID,PRODUCTNAME,PRODUCTSYMBOL,SECTOR,QUANTITY,PURCHASEPRICE,MARKETPRICE,VALUE,PURCHASEDATE,DIVIDENDYIELD,RISKLEVEL,ASSETCLASS,ACCOUNTTYPE,BROKERNAME,LASTUPDATED,INVESTMENTID,INVESTMENTTYPE,DESCRIPTION,PRODUCTS_EXAMPLES,WHOBUYS,CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMPLOYEE_ID,EMPLOYER_NAME,JOB_TITLE,START_DATE,PREVIOUS_EMPLOYER,CUSTOMER_ID,FIRST_NAME,LAST_NAME,MARITAL_STATUS,PREVIOUS_MARITAL_STATUS,STATUS_CHANGE_DATE,TRANSACTION_ID,CUSTOMER_ID,TRANSACTION_DATE,TRANSACTION_DESCRIPTION,TRANSACTION_AMOUNT,TRANSACTION_TYPE,BANK_NAME
C0004,Anthony,Wallace,8/4/1945,7069,Single,80696,Email,001-821-393-1038,thaynes@allen.net,"7300 Dawn Park, Luischester, OK 33004",Stephaniefurt,IL,46857,No,12:07.0,Investment Growth,27:53.0,B102,BO_4,FA016,Charlotte Scott,C0004,81,0,1,11/28/2024,FA016,Charlotte Scott,Financial Advisor,C0004,Anthony,Wallace,A3915,Multi-Family Home,Owned,7/28/2021,484349,4,C0004,3,US Treasury 10-Year,T-Bill,Government,2,980,995,1990,7/18/2023,2.5,Low,Fixed income,401k,Charles Schwab,7/7/2025,3,Bonds (Fixed Income),Debt securities with periodic interest payments,"U.S. Treasury Bonds, Apple Corporate Bonds","Retirees, conservative investors",C0004,Anthony,Wallace,E75582,AutoMotive,HR Specialist,6/23/2023,TechCorp,C0004,Anthony,Wallace,Divorced,Married,12/8/2024,T11971,C0004,9/19/2024,Inheritance Deposit from Executor,45632.92,Credit,Bank of America
C0005,Stephen,Mcgrath,7/28/1962,5133,Divorced,67779,Email,001-768-036-4373x7901,samanthawilson@gmail.com,"73408 Norman Pine, Catherineville, MO 78211",Holtbury,TX,9626,No,49:17.0,Home Purchase,25:50.0,B105,BO_6,FA018,Amelia Adams,C0005,5,2,9,12/15/2024,FA018,Amelia Adams,Financial Advisor,C0005,Stephen,Mcgrath,A3511,Single Family Home,Sold,8/15/2022,174320,5,C0005,5,Bitcoin,BTC,Digital Assets,0.05,30000,65000,3250,7/19/2023,0,High,Others,Brokerage,Coinbase,7/8/2025,5,Cryptocurrencies,Digital assets using blockchain,"Bitcoin (BTC), Ethereum (ETH), ProShares Bitcoin ETF (BITO)",Tech-savvy investors,C0005,Stephen,Mcgrath,E46422,FinanceInc,Financial Advisor,3/16/2022,RetailWorks,C0005,Stephen,Mcgrath,Widowed,Divorced,1/2/2024,T10314,C0005,1/6/2025,Property Down Payment,9665.82,Debit,Capital One
C0005,Stephen,Mcgrath,7/28/1962,5133,Divorced,67779,Email,001-768-036-4373x7901,samanthawilson@gmail.com,"73408 Norman Pine, Catherineville, MO 78211",Holtbury,TX,9626,No,49:17.0,Home Purchase,25:50.0,B105,BO_6,FA018,Amelia Adams,C0005,5,2,9,12/15/2024,FA018,Amelia Adams,Financial Advisor,C0005,Stephen,Mcgrath,A3511,Single Family Home,Sold,8/15/2022,174320,5,C0005,5,Bitcoin,BTC,Digital Assets,0.05,30000,65000,3250,7/19/2023,0,High,Others,Brokerage,Coinbase,7/8/2025,5,Cryptocurrencies,Digital assets using blockchain,"Bitcoin (BTC), Ethereum (ETH), ProShares Bitcoin ETF (BITO)",Tech-savvy investors,C0005,Stephen,Mcgrath,E46422,FinanceInc,Financial Advisor,3/16/2022,RetailWorks,C0005,Stephen,Mcgrath,Widowed,Divorced,1/2/2024,T11761,C0005,9/13/2024,Property Down Payment,14686.38,Credit,Chase
C0006,Daniel,Ford,7/20/1978,8161,Divorced,219112,Email,(249)260-5847,gmartinez@yahoo.com,"610 Patricia Points, Port Bryanfurt, DC 22077",Wiseborough,CA,43055,Yes,05:22.0,Home Purchase,26:25.0,B105,BO_4,FA016,Charlotte Scott,C0006,84,1,1,10/20/2024,FA016,Charlotte Scott,Financial Advisor,C0006,Daniel,Ford,A5711,Single Family Home,Sold,4/5/2019,322258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0006,Daniel,Ford,E87216,FinanceInc,Financial Advisor,9/30/2022,HealthPlus,C0006,Daniel,Ford,Single,Widowed,5/6/2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C0007,Jennifer,Zimmerman,1/26/2002,6382,Widowed,332488,SMS,556-543-0429x1862,ptran@hotmail.com,"1445 Fleming Creek, South Matthewton, VA 47083",Waltonfort,FL,34026,No,04:34.0,Investment Growth,23:24.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0007,Jennifer,Zimmerman,A5760,Single Family Home,Mortgaged,2/3/2020,420251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0007,Jennifer,Zimmerman,E35509,StartupX,Marketing Manager,5/19/2022,AutoMotive,C0007,Jennifer,Zimmerman,Divorced,Married,3/26/2023,T10815,C0007,12/26/2024,Mortgage Loan Disbursement,20919.1,Credit,Capital One
C0007,Jennifer,Zimmerman,1/26/2002,6382,Widowed,332488,SMS,556-543-0429x1862,ptran@hotmail.com,"1445 Fleming Creek, South Matthewton, VA 47083",Waltonfort,FL,34026,No,04:34.0,Investment Growth,23:24.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0007,Jennifer,Zimmerman,A5760,Single Family Home,Mortgaged,2/3/2020,420251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0007,Jennifer,Zimmerman,E35509,StartupX,Marketing Manager,5/19/2022,AutoMotive,C0007,Jennifer,Zimmerman,Divorced,Married,3/26/2023,T11202,C0007,5/31/2024,Moving Expenses Reimbursement,47376.94,Debit,Wells Fargo
C0007,Jennifer,Zimmerman,1/26/2002,6382,Widowed,332488,SMS,556-543-0429x1862,ptran@hotmail.com,"1445 Fleming Creek, South Matthewton, VA 47083",Waltonfort,FL,34026,No,04:34.0,Investment Growth,23:24.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0007,Jennifer,Zimmerman,A5760,Single Family Home,Mortgaged,2/3/2020,420251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0007,Jennifer,Zimmerman,E35509,StartupX,Marketing Manager,5/19/2022,AutoMotive,C0007,Jennifer,Zimmerman,Divorced,Married,3/26/2023,T11453,C0007,11/23/2024,401k Withdrawal,37811.03,Credit,Wells Fargo
C0008,Jennifer,Hodges,5/5/1977,5112,Divorced,300942,Phone,(158)270-5989x6136,nadams@jones-brooks.net,"PSC 0137, Box 4971, APO AA 71137",Sueberg,NY,78780,No,06:00.0,Investment Growth,00:16.0,B102,BO_1,FA001,John Smith,C0008,86,4,9,2/12/2025,FA001,John Smith,Admin,C0008,Jennifer,Hodges,A9154,Condo,Sold,1/5/2020,619999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0008,Jennifer,Hodges,E94459,AutoMotive,Financial Advisor,11/27/2020,RetailWorks,C0008,Jennifer,Hodges,Married,Widowed,8/27/2021,T10137,C0008,1/5/2025,Mortgage Loan Disbursement,22371.89,Credit,Wells Fargo
C0008,Jennifer,Hodges,5/5/1977,5112,Divorced,300942,Phone,(158)270-5989x6136,nadams@jones-brooks.net,"PSC 0137, Box 4971, APO AA 71137",Sueberg,NY,78780,No,06:00.0,Investment Growth,00:16.0,B102,BO_1,FA001,John Smith,C0008,86,4,9,2/12/2025,FA001,John Smith,Admin,C0008,Jennifer,Hodges,A9154,Condo,Sold,1/5/2020,619999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0008,Jennifer,Hodges,E94459,AutoMotive,Financial Advisor,11/27/2020,RetailWorks,C0008,Jennifer,Hodges,Married,Widowed,8/27/2021,T11393,C0008,8/17/2024,401k Withdrawal,46953.64,Debit,Capital One
C0008,Jennifer,Hodges,5/5/1977,5112,Divorced,300942,Phone,(158)270-5989x6136,nadams@jones-brooks.net,"PSC 0137, Box 4971, APO AA 71137",Sueberg,NY,78780,No,06:00.0,Investment Growth,00:16.0,B106,BO_10,FA022,Harper Walker,C0008,10,2,7,1/7/2025,FA022,Harper Walker,Financial Advisor,C0008,Jennifer,Hodges,A9154,Condo,Sold,1/5/2020,619999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0008,Jennifer,Hodges,E94459,AutoMotive,Financial Advisor,11/27/2020,RetailWorks,C0008,Jennifer,Hodges,Married,Widowed,8/27/2021,T10137,C0008,1/5/2025,Mortgage Loan Disbursement,22371.89,Credit,Wells Fargo
C0008,Jennifer,Hodges,5/5/1977,5112,Divorced,300942,Phone,(158)270-5989x6136,nadams@jones-brooks.net,"PSC 0137, Box 4971, APO AA 71137",Sueberg,NY,78780,No,06:00.0,Investment Growth,00:16.0,B106,BO_10,FA022,Harper Walker,C0008,10,2,7,1/7/2025,FA022,Harper Walker,Financial Advisor,C0008,Jennifer,Hodges,A9154,Condo,Sold,1/5/2020,619999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0008,Jennifer,Hodges,E94459,AutoMotive,Financial Advisor,11/27/2020,RetailWorks,C0008,Jennifer,Hodges,Married,Widowed,8/27/2021,T11393,C0008,8/17/2024,401k Withdrawal,46953.64,Debit,Capital One
C0009,Mitchell,Collins,7/9/1973,4208,Single,499781,Phone,001-888-513-1686,robertrodgers@thompson-huber.com,"1775 Lopez Via Suite 473, New Loriport, OK 00730",Jasonbury,NY,42195,No,33:35.0,Home Purchase,04:39.0,B102,BO_7,FA003,Michael Brown,C0009,39,5,10,1/15/2025,FA003,Michael Brown,Realtionship Manager,C0009,Mitchell,Collins,A4209,Townhouse,Mortgaged,4/21/2023,290169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0009,Mitchell,Collins,E44038,AutoMotive,Sales Executive,5/17/2024,HealthPlus,C0009,Mitchell,Collins,Married,Single,1/18/2025,T11770,C0009,9/13/2024,Pension Fund Deposit,35774.66,Credit,Chase
C0009,Mitchell,Collins,7/9/1973,4208,Single,499781,Phone,001-888-513-1686,robertrodgers@thompson-huber.com,"1775 Lopez Via Suite 473, New Loriport, OK 00730",Jasonbury,NY,42195,No,33:35.0,Home Purchase,04:39.0,B102,BO_7,FA003,Michael Brown,C0009,39,5,10,1/15/2025,FA003,Michael Brown,Realtionship Manager,C0009,Mitchell,Collins,A4209,Townhouse,Mortgaged,4/21/2023,290169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0009,Mitchell,Collins,E44038,AutoMotive,Sales Executive,5/17/2024,HealthPlus,C0009,Mitchell,Collins,Married,Single,1/18/2025,T11901,C0009,9/21/2024,Property Down Payment,35057.29,Credit,Wells Fargo
C0009,Mitchell,Collins,7/9/1973,4208,Single,499781,Phone,001-888-513-1686,robertrodgers@thompson-huber.com,"1775 Lopez Via Suite 473, New Loriport, OK 00730",Jasonbury,NY,42195,No,33:35.0,Home Purchase,04:39.0,B104,BO_2,FA012,Ava Lewis,C0009,9,0,3,12/9/2024,FA012,Ava Lewis,Financial Advisor,C0009,Mitchell,Collins,A4209,Townhouse,Mortgaged,4/21/2023,290169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0009,Mitchell,Collins,E44038,AutoMotive,Sales Executive,5/17/2024,HealthPlus,C0009,Mitchell,Collins,Married,Single,1/18/2025,T11770,C0009,9/13/2024,Pension Fund Deposit,35774.66,Credit,Chase
C0009,Mitchell,Collins,7/9/1973,4208,Single,499781,Phone,001-888-513-1686,robertrodgers@thompson-huber.com,"1775 Lopez Via Suite 473, New Loriport, OK 00730",Jasonbury,NY,42195,No,33:35.0,Home Purchase,04:39.0,B104,BO_2,FA012,Ava Lewis,C0009,9,0,3,12/9/2024,FA012,Ava Lewis,Financial Advisor,C0009,Mitchell,Collins,A4209,Townhouse,Mortgaged,4/21/2023,290169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0009,Mitchell,Collins,E44038,AutoMotive,Sales Executive,5/17/2024,HealthPlus,C0009,Mitchell,Collins,Married,Single,1/18/2025,T11901,C0009,9/21/2024,Property Down Payment,35057.29,Credit,Wells Fargo
C0009,Mitchell,Collins,7/9/1973,4208,Single,499781,Phone,001-888-513-1686,robertrodgers@thompson-huber.com,"1775 Lopez Via Suite 473, New Loriport, OK 00730",Jasonbury,NY,42195,No,33:35.0,Home Purchase,04:39.0,B110,BO_2,FA018,Amelia Adams,C0009,26,5,10,10/25/2024,FA018,Amelia Adams,Financial Advisor,C0009,Mitchell,Collins,A4209,Townhouse,Mortgaged,4/21/2023,290169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0009,Mitchell,Collins,E44038,AutoMotive,Sales Executive,5/17/2024,HealthPlus,C0009,Mitchell,Collins,Married,Single,1/18/2025,T11770,C0009,9/13/2024,Pension Fund Deposit,35774.66,Credit,Chase
C0009,Mitchell,Collins,7/9/1973,4208,Single,499781,Phone,001-888-513-1686,robertrodgers@thompson-huber.com,"1775 Lopez Via Suite 473, New Loriport, OK 00730",Jasonbury,NY,42195,No,33:35.0,Home Purchase,04:39.0,B110,BO_2,FA018,Amelia Adams,C0009,26,5,10,10/25/2024,FA018,Amelia Adams,Financial Advisor,C0009,Mitchell,Collins,A4209,Townhouse,Mortgaged,4/21/2023,290169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C0009,Mitchell,Collins,E44038,AutoMotive,Sales Executive,5/17/2024,HealthPlus,C0009,Mitchell,Collins,Married,Single,1/18/2025,T11901,C0009,9/21/2024,Property Down Payment,35057.29,Credit,Wells Fargo
